epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91303,2.30094,3.47793,2.19462,0.00864,0.57143,0.07465,0.02736,2.24103,3.3232,2.09745,0.00053344,0.00053344,0.00053344
2,7.15449,2.30827,2.89301,2.24211,0.06716,0.06122,0.03015,0.00964,2.35583,3.40461,2.47477,0.00107997,0.00107997,0.00107997
3,10.1772,2.28147,2.78761,2.2336,0.3042,0.16327,0.11538,0.04023,2.41455,3.0972,2.53882,0.00162288,0.00162288,0.00162288
4,13.2782,2.28349,2.6953,2.20553,0.16943,0.17857,0.10617,0.034,2.33969,3.6053,2.58604,0.0016505,0.0016505,0.0016505
5,16.3828,2.23295,2.70821,2.21632,0.19263,0.16327,0.10344,0.03366,2.52798,3.50589,2.39381,0.001645,0.001645,0.001645
6,19.4745,2.22936,2.64654,2.18332,0.38347,0.13776,0.11076,0.03295,2.55972,4.1984,2.46386,0.00163949,0.00163949,0.00163949
7,22.3962,2.2162,2.62361,2.16488,0.16238,0.14796,0.0748,0.02395,2.45082,3.19243,2.3591,0.00163399,0.00163399,0.00163399
8,25.3285,2.1831,2.6165,2.15125,0.13723,0.17347,0.08026,0.02343,2.26752,3.7967,2.2224,0.00162849,0.00162849,0.00162849
9,28.2588,2.14698,2.55594,2.11702,0.08092,0.13836,0.04599,0.01687,2.49607,3.49137,2.58829,0.00162299,0.00162299,0.00162299
10,31.2024,2.16782,2.57485,2.15353,0.07917,0.11735,0.04346,0.01516,2.36642,3.36261,2.29746,0.00161749,0.00161749,0.00161749
11,34.0824,2.17543,2.5323,2.12107,0.14079,0.21429,0.07045,0.02906,2.21094,3.15447,2.11162,0.00161199,0.00161199,0.00161199
12,37.0672,2.12773,2.50411,2.10611,0.25703,0.25,0.15694,0.05229,2.14876,2.80644,2.1434,0.00160649,0.00160649,0.00160649
13,40.1154,2.10544,2.48459,2.08194,0.20627,0.13776,0.12141,0.04341,2.35348,2.84295,2.33432,0.00160099,0.00160099,0.00160099
14,43.2796,2.1254,2.48898,2.09647,0.18697,0.19898,0.10252,0.04168,2.26278,3.09914,2.28533,0.00159549,0.00159549,0.00159549
15,46.2123,2.10927,2.45656,2.09159,0.18704,0.22959,0.14234,0.05197,2.27451,2.8421,2.15516,0.00158998,0.00158998,0.00158998
16,49.1255,2.07925,2.39963,2.05358,0.20921,0.22449,0.13913,0.05733,2.10012,2.87575,2.03915,0.00158448,0.00158448,0.00158448
17,52.1437,2.0665,2.39187,2.06984,0.25792,0.18621,0.14408,0.05063,2.21369,2.94674,2.18519,0.00157898,0.00157898,0.00157898
18,55.2617,2.09527,2.41269,2.09475,0.10088,0.16837,0.04752,0.01791,2.29323,3.52655,2.14999,0.00157348,0.00157348,0.00157348
19,58.4756,2.04974,2.36483,2.02047,0.24912,0.2449,0.1589,0.0663,2.17331,2.70691,2.00391,0.00156798,0.00156798,0.00156798
20,61.4483,2.05556,2.3386,2.04334,0.16591,0.25,0.08105,0.03043,2.19493,2.90626,2.05974,0.00156248,0.00156248,0.00156248
21,64.4341,2.05788,2.36469,2.0565,0.20063,0.18367,0.11886,0.04398,2.19255,3.13842,2.11394,0.00155698,0.00155698,0.00155698
22,67.4843,2.01518,2.30423,2.03358,0.2464,0.20918,0.12881,0.04905,2.16767,3.29931,2.13781,0.00155148,0.00155148,0.00155148
23,70.4989,2.00513,2.27285,1.99967,0.19716,0.21939,0.09969,0.04253,2.19726,3.21758,2.04866,0.00154598,0.00154598,0.00154598
24,73.4912,2.02734,2.26675,1.99208,0.21267,0.19388,0.12404,0.04988,2.29702,2.93612,2.11159,0.00154047,0.00154047,0.00154047
25,76.4826,2.00994,2.23106,1.9918,0.32992,0.26531,0.22201,0.0947,2.07594,2.81184,2.11068,0.00153497,0.00153497,0.00153497
